date,close
2018-06-11,-2.09
2018-06-12,-0.08
2018-06-13,2.14
2018-06-14,4.57
2018-06-15,7.25
2018-06-19,10.19
2018-06-20,13.43
2018-06-21,16.99
2018-06-22,14.77
2018-06-25,16.24
2018-06-26,19.01
2018-06-27,18.96
2018-06-28,15.7
2018-06-29,17.78
2018-07-02,16.69
2018-07-03,16.3
2018-07-04,14.42
2018-07-05,16.03
2018-07-06,17.18
2018-07-09,17.55
2018-07-10,18.02
2018-07-11,20.61
2018-07-12,24.9
2018-07-13,23.75
2018-07-16,24.41
2018-07-17,23.51
2018-07-18,23.51
2018-07-19,23.85
2018-07-20,28.32
2018-07-23,27.04
2018-07-24,28.79
2018-07-25,23.69
2018-07-26,21.25
2018-07-27,20.05
2018-07-30,20.5
2018-07-31,17.92
2018-08-01,17.48
2018-08-02,18.11
2018-08-03,16.47
2018-08-06,16.5
2018-08-07,18.8
2018-08-08,17.54
2018-08-09,18.95
2018-08-10,19.16
2018-08-13,18.92
2018-08-14,17.56
2018-08-15,16.2
2018-08-16,16.13
2018-08-17,15.67
2018-08-20,16.11
2018-08-21,16.45
2018-08-22,15.29
2018-08-23,16.19
2018-08-24,16.02
2018-08-27,16.95
2018-08-28,18.36
2018-08-29,18.37
2018-08-30,16.69
2018-08-31,14.19
2018-09-03,12.95
2018-09-04,13.27
2018-09-05,11.91
2018-09-06,12.16
2018-09-07,12.98
2018-09-10,11.89
2018-09-11,12.56
2018-09-12,13.64
2018-09-13,13.8
2018-09-14,14.41
2018-09-17,13.2
2018-09-18,14.67
2018-09-19,15.21
2018-09-20,15.57
2018-09-21,16.24
2018-09-25,15.76
2018-09-26,18.3
2018-09-27,18.11
2018-09-28,18.36
2018-10-08,15.83
2018-10-09,13.86
2018-10-10,13.86
2018-10-11,11.39
2018-10-12,12.72
2018-10-15,16.22
2018-10-16,16.05
2018-10-17,16.69
2018-10-18,15.6
2018-10-19,18.79
2018-10-22,21.75
2018-10-23,21.14
2018-10-24,20.58
2018-10-25,22.75
2018-10-26,19.25
2018-10-29,17.11
2018-10-30,19.47
2018-10-31,19.19
2018-11-01,18.7
2018-11-02,21.4
2018-11-05,21.91
2018-11-06,23.12
2018-11-07,21.71
2018-11-08,20.75
2018-11-09,21.0
2018-11-12,24.05
2018-11-13,23.15
2018-11-14,22.8
2018-11-15,23.0
2018-11-16,22.31
2018-11-19,21.89
2018-11-20,21.01
2018-11-21,21.5
2018-11-22,21.09
2018-11-23,18.9
2018-11-26,19.26
2018-11-27,19.8
2018-11-28,21.51
2018-11-29,21.15
2018-11-30,22.26
2018-12-03,22.72
2018-12-04,23.52
2018-12-05,23.01
2018-12-06,21.7
2018-12-07,22.08
2018-12-10,21.3
2018-12-11,21.45
2018-12-12,23.08
2018-12-13,23.42
2018-12-14,21.88
2018-12-17,22.34
2018-12-18,22.0
2018-12-19,21.97
2018-12-20,20.77
2018-12-21,21.41
2018-12-24,21.15
2018-12-25,20.69
2018-12-26,19.97
2018-12-27,19.9
2018-12-28,18.8
2019-01-02,18.72
2019-01-03,18.82
2019-01-04,20.56
2019-01-07,20.81
2019-01-08,21.87
2019-01-09,21.12
2019-01-10,20.18
2019-01-11,19.63
2019-01-14,20.07
2019-01-15,20.79
2019-01-16,20.4
2019-01-17,20.39
2019-01-18,19.69
2019-01-21,19.6
2019-01-22,19.06
2019-01-23,19.71
2019-01-24,19.56
2019-01-25,20.82
2019-01-28,20.06
2019-01-29,20.4
2019-01-30,20.14
2019-01-31,20.09
2019-02-01,21.36
2019-02-11,22.8
2019-02-12,22.8
2019-02-13,23.19
2019-02-14,24.87
2019-02-15,23.59
2019-02-18,24.72
2019-02-19,23.52
2019-02-20,24.01
2019-02-21,24.1
2019-02-22,24.67
2019-02-25,28.54
2019-02-26,26.97
2019-02-27,25.61
2019-02-28,26.52
2019-03-01,27.82
2019-03-04,29.13
2019-03-05,29.25
2019-03-06,28.47
2019-03-07,26.63
2019-03-08,25.01
2019-03-11,26.65
2019-03-12,28.4
2019-03-13,26.74
2019-03-14,27.22
2019-03-15,27.71
2019-03-18,27.4
2019-03-19,27.02
2019-03-20,26.23
2019-03-21,26.2
2019-03-22,25.9
2019-03-25,27.25
2019-03-26,25.19
2019-03-27,24.14
2019-03-28,24.02
2019-03-29,25.02
2019-04-01,25.77
2019-04-02,25.01
2019-04-03,24.74
2019-04-04,24.56
2019-04-08,23.52
2019-04-09,24.42
2019-04-10,23.49
2019-04-11,22.65
2019-04-12,23.35
2019-04-15,22.79
2019-04-16,23.51
2019-04-17,25.64
2019-04-18,24.83
2019-04-19,24.02
2019-04-22,22.93
2019-04-23,21.23
2019-04-24,22.12
2019-04-25,21.75
2019-04-26,21.89
2019-04-29,22.12
2019-04-30,22.11
2019-05-06,19.86
2019-05-07,19.94
2019-05-08,19.25
2019-05-09,18.19
2019-05-10,18.97
2019-05-13,17.57
2019-05-14,17.89
2019-05-15,19.46
2019-05-16,19.1
2019-05-17,17.94
2019-05-20,16.52
2019-05-21,16.77
2019-05-22,16.34
2019-05-23,15.29
2019-05-24,15.5
2019-05-27,16.25
2019-05-28,17.74
2019-05-29,17.01
2019-05-30,16.59
2019-05-31,16.38
2019-06-03,15.67
2019-06-04,14.95
2019-06-05,16.17
2019-06-06,14.99
2019-06-10,15.36
2019-06-11,15.69
2019-06-12,15.94
2019-06-13,17.25
2019-06-14,17.9
2019-06-17,17.78
2019-06-18,17.27
2019-06-19,16.51
2019-06-20,16.17
2019-06-21,16.19
2019-06-24,16.06
2019-06-25,16.04
2019-06-26,16.68
2019-06-27,16.65
2019-06-28,16.07
2019-07-01,16.87
2019-07-02,17.27
2019-07-03,17.69
2019-07-04,17.27
2019-07-05,17.29
2019-07-08,16.06
2019-07-09,17.17
2019-07-10,17.94
2019-07-11,18.04
2019-07-12,18.85
2019-07-15,18.72
2019-07-16,18.26
2019-07-17,18.35
2019-07-18,17.52
2019-07-19,18.08
2019-07-22,18.48
2019-07-23,20.03
2019-07-24,19.93
2019-07-25,20.0
2019-07-26,20.47
2019-07-29,20.48
2019-07-30,21.08
2019-07-31,20.1
2019-08-01,19.99
2019-08-02,19.7
2019-08-05,18.44
2019-08-06,17.96
2019-08-07,18.62
2019-08-08,18.48
2019-08-09,17.84
2019-08-12,18.64
2019-08-13,18.7
2019-08-14,18.71
2019-08-15,19.09
2019-08-16,18.56
2019-08-19,20.21
2019-08-20,19.79
2019-08-21,19.99
2019-08-22,19.88
2019-08-23,18.94
2019-08-26,18.31
2019-08-27,18.6
2019-08-28,18.17
2019-08-29,17.37
2019-08-30,18.03
2019-09-02,18.41
2019-09-03,17.44
2019-09-04,17.43
2019-09-05,17.49
2019-09-06,17.8
2019-09-09,20.66
2019-09-10,20.78
2019-09-11,21.09
2019-09-12,21.21
2019-09-16,20.49
2019-09-17,19.28
2019-09-18,19.32
2019-09-19,19.76
2019-09-20,19.47
2019-09-23,18.43
2019-09-24,18.29
2019-09-25,18.41
2019-09-26,17.58
2019-09-27,17.58
2019-09-30,17.6
2019-10-08,16.91
2019-10-09,16.27
2019-10-10,17.27
2019-10-11,17.58
2019-10-14,17.24
2019-10-15,17.31
2019-10-16,16.6
2019-10-17,16.38
2019-10-18,16.82
2019-10-21,16.57
2019-10-22,17.17
2019-10-23,17.19
2019-10-24,17.68
2019-10-25,17.34
2019-10-28,17.22
2019-10-29,16.37
2019-10-30,16.5
2019-10-31,16.05
2019-11-01,16.4
2019-11-04,16.73
2019-11-05,18.7
2019-11-06,20.05
2019-11-07,19.71
2019-11-08,19.89
2019-11-11,18.83
2019-11-12,19.24
2019-11-13,18.96
2019-11-14,19.05
2019-11-15,18.21
2019-11-18,18.36
2019-11-19,20.63
2019-11-20,20.27
2019-11-21,20.74
2019-11-22,22.6
2019-11-25,24.31
2019-11-26,26.77
2019-11-27,26.35
2019-11-28,26.44
2019-11-29,26.44
2019-12-02,26.27
2019-12-03,25.88
2019-12-04,26.05
2019-12-05,28.99
2019-12-06,29.55
2019-12-09,29.49
2019-12-10,29.74
2019-12-11,28.71
2019-12-12,27.71
2019-12-13,29.55
2019-12-16,29.16
2019-12-17,30.88
2019-12-18,29.65
2019-12-19,29.69
2019-12-20,29.43
2019-12-23,29.49
2019-12-24,33.16
2019-12-25,36.38
2019-12-26,36.28
2019-12-27,35.77
2019-12-30,38.99
2019-12-31,36.99
2020-01-02,37.61
2020-01-03,38.74
2020-01-06,38.49
2020-01-07,38.16
2020-01-08,38.77
2020-01-09,41.77
2020-01-10,40.83
2020-01-13,42.83
2020-01-14,42.16
2020-01-15,41.94
2020-01-16,42.55
2020-01-17,41.81
2020-01-20,46.33
2020-01-21,45.46
2020-01-22,52.23
2020-01-23,50.42
2020-02-03,53.08
2020-02-04,60.6
2020-02-05,68.88
2020-02-06,72.26
2020-02-07,66.88
2020-02-10,69.69
2020-02-11,65.88
2020-02-12,66.58
2020-02-13,64.74
2020-02-14,61.16
2020-02-17,63.49
2020-02-18,64.89
2020-02-19,62.99
2020-02-20,66.77
2020-02-21,66.71
2020-02-24,63.66
2020-02-25,67.8
2020-02-26,62.8
2020-02-27,60.93
2020-02-28,53.25
2020-03-02,55.65
2020-03-03,58.87
2020-03-04,57.71
2020-03-05,58.56
2020-03-06,57.61
2020-03-09,52.02
2020-03-10,55.95
2020-03-11,56.09
2020-03-12,52.44
2020-03-13,51.27
2020-03-16,44.03
2020-03-17,43.41
2020-03-18,43.08
2020-03-19,41.79
2020-03-20,42.25
2020-03-23,37.59
2020-03-24,39.86
2020-03-25,45.1
2020-03-26,44.34
2020-03-27,43.83
2020-03-30,44.16
2020-03-31,44.76
2020-04-01,44.77
2020-04-02,46.55
2020-04-03,45.1
2020-04-07,47.16
2020-04-08,46.21
2020-04-09,44.66
2020-04-10,43.69
2020-04-13,41.6
2020-04-14,47.97
2020-04-15,48.99
2020-04-16,51.74
2020-04-17,53.96
2020-04-20,52.61
2020-04-21,50.39
2020-04-22,50.58
2020-04-23,50.05
2020-04-24,51.04
2020-04-27,52.28
2020-04-28,54.71
2020-04-29,54.95
2020-04-30,58.09
2020-05-06,58.88
2020-05-07,57.44
2020-05-08,57.93
2020-05-11,54.34
2020-05-12,55.1
2020-05-13,54.69
2020-05-14,53.21
2020-05-15,58.7
2020-05-18,56.66
2020-05-19,57.47
2020-05-20,60.83
2020-05-21,59.8
2020-05-22,57.22
2020-05-25,58.05
2020-05-26,61.23
2020-05-27,62.05
2020-05-28,60.01
2020-05-29,58.73
2020-06-01,61.74
2020-06-02,60.91
2020-06-03,60.38
2020-06-04,61.34
2020-06-05,62.0
2020-06-08,62.11
2020-06-09,63.54
2020-06-10,65.05
2020-06-11,69.1
2020-06-12,66.5
2020-06-15,65.61
2020-06-16,66.89
2020-06-17,65.67
2020-06-18,66.31
2020-06-19,70.17
2020-06-22,69.67
2020-06-23,71.83
2020-06-24,73.28
2020-06-29,73.03
2020-06-30,74.87
2020-07-01,72.11
2020-07-02,70.89
2020-07-03,71.11
2020-07-06,76.78
2020-07-07,86.66
2020-07-08,87.76
2020-07-09,91.9
2020-07-10,91.28
