date,close
2018-01-02,52.98
2018-01-03,51.36
2018-01-04,51.57
2018-01-05,51.28
2018-01-08,50.4
2018-01-09,52.26
2018-01-10,52.11
2018-01-11,53.04
2018-01-12,54.8
2018-01-15,58.04
2018-01-16,58.2
2018-01-17,57.73
2018-01-18,58.0
2018-01-19,57.98
2018-01-22,59.13
2018-01-23,59.15
2018-01-24,56.83
2018-01-25,55.68
2018-01-26,56.49
2018-01-29,53.75
2018-01-30,53.77
2018-01-31,55.47
2018-02-01,55.87
2018-02-02,56.4
2018-02-05,56.1
2018-02-06,54.16
2018-02-07,51.77
2018-02-08,49.38
2018-02-09,44.82
2018-02-12,45.35
2018-02-13,47.41
2018-02-14,49.28
2018-02-22,50.16
2018-02-23,51.03
2018-02-26,51.19
2018-02-27,50.2
2018-02-28,48.15
2018-03-01,49.32
2018-03-02,48.07
2018-03-05,48.27
2018-03-06,49.71
2018-03-07,49.17
2018-03-08,50.93
2018-03-09,51.28
2018-03-12,51.51
2018-03-13,49.81
2018-03-14,49.21
2018-03-15,50.88
2018-03-16,50.9
2018-03-19,54.2
2018-03-20,54.48
2018-03-21,54.21
2018-03-22,53.27
2018-03-23,50.69
2018-03-26,48.67
2018-03-27,48.55
2018-03-28,45.79
2018-03-29,46.78
2018-03-30,45.7
2018-04-02,45.05
2018-04-03,44.9
2018-04-04,44.94
2018-04-09,46.35
2018-04-10,48.64
2018-04-11,48.06
2018-04-12,47.11
2018-04-13,46.57
2018-04-16,44.69
2018-04-17,43.52
2018-04-18,43.9
2018-04-19,44.87
2018-04-20,44.54
2018-04-23,45.38
2018-04-24,46.95
2018-04-25,45.89
2018-04-26,43.51
2018-04-27,41.28
2018-05-02,41.73
2018-05-03,41.83
2018-05-04,41.1
2018-05-07,41.58
2018-05-08,43.47
2018-05-09,43.34
2018-05-10,43.57
2018-05-11,43.49
2018-05-14,44.49
2018-05-15,44.36
2018-05-16,43.2
2018-05-17,42.39
2018-05-18,43.43
2018-05-21,44.05
2018-05-22,43.4
2018-05-23,42.15
2018-05-24,41.61
2018-05-25,41.92
2018-05-28,42.89
2018-05-29,42.77
2018-05-30,41.04
2018-05-31,42.52
2018-06-01,42.03
2018-06-04,43.92
2018-06-05,44.97
2018-06-06,44.2
2018-06-07,44.83
2018-06-08,43.98
2018-06-11,44.62
2018-06-12,45.49
2018-06-13,45.34
2018-06-14,46.03
2018-06-15,46.22
2018-06-19,43.68
2018-06-20,43.44
2018-06-21,42.68
2018-06-22,42.66
2018-06-25,41.38
2018-06-26,40.83
2018-06-27,39.09
2018-06-28,38.42
2018-06-29,40.17
2018-07-02,36.81
2018-07-03,37.93
2018-07-04,37.11
2018-07-05,37.12
2018-07-06,38.53
2018-07-09,40.47
2018-07-10,39.77
2018-07-11,38.68
