date,close
2018-01-02,16.14
2018-01-03,16.49
2018-01-04,16.17
2018-01-05,16.62
2018-01-08,15.99
2018-01-09,16.29
2018-01-10,17.05
2018-01-11,17.44
2018-01-12,18.03
2018-01-15,18.46
2018-01-16,18.41
2018-01-17,18.21
2018-01-18,18.84
2018-01-19,18.98
2018-01-22,19.6
2018-01-23,20.57
2018-01-24,20.37
2018-01-25,19.93
2018-01-26,19.99
2018-01-29,19.5
2018-01-30,19.09
2018-01-31,20.46
2018-02-01,20.97
2018-02-02,21.02
2018-02-05,21.41
2018-02-06,21.14
2018-02-07,18.91
2018-02-08,17.8
2018-02-09,17.23
2018-02-12,16.57
2018-02-13,17.43
2018-02-14,17.89
2018-02-22,18.02
2018-02-23,18.3
2018-02-26,18.03
2018-02-27,17.39
2018-02-28,16.82
2018-03-01,16.92
2018-03-02,16.55
2018-03-05,16.67
2018-03-06,16.56
2018-03-07,17.29
2018-03-08,17.44
2018-03-09,17.67
2018-03-12,17.36
2018-03-13,17.25
2018-03-14,16.91
2018-03-15,17.04
2018-03-16,16.65
2018-03-19,17.23
2018-03-20,17.51
2018-03-21,17.78
2018-03-22,17.75
2018-03-23,16.83
2018-03-26,15.63
2018-03-27,15.24
2018-03-28,15.22
2018-03-29,15.83
2018-03-30,15.61
2018-04-02,15.53
2018-04-03,15.33
2018-04-04,15.28
2018-04-09,15.36
2018-04-10,16.81
2018-04-11,17.01
2018-04-12,16.45
2018-04-13,16.06
2018-04-16,14.63
2018-04-17,14.21
2018-04-18,14.66
2018-04-19,14.76
2018-04-20,14.73
2018-04-23,14.81
2018-04-24,15.38
2018-04-25,15.34
2018-04-26,15.32
2018-04-27,15.85
2018-05-02,16.08
2018-05-03,15.82
2018-05-04,15.26
2018-05-07,15.45
2018-05-08,16.2
2018-05-09,16.27
2018-05-10,16.36
2018-05-11,16.6
2018-05-14,17.34
2018-05-15,17.08
2018-05-16,16.49
2018-05-17,16.32
2018-05-18,16.98
2018-05-21,16.79
2018-05-22,16.34
2018-05-23,16.13
2018-05-24,15.62
2018-05-25,15.73
2018-05-28,15.32
2018-05-29,15.46
2018-05-30,14.82
2018-05-31,15.3
2018-06-01,15.12
2018-06-04,15.77
2018-06-05,15.78
2018-06-06,15.32
2018-06-07,15.42
2018-06-08,14.72
2018-06-11,15.15
2018-06-12,15.26
2018-06-13,15.23
2018-06-14,15.09
2018-06-15,15.46
2018-06-19,15.51
2018-06-20,15.03
2018-06-21,15.17
2018-06-22,15.14
2018-06-25,14.19
2018-06-26,13.42
2018-06-27,12.85
2018-06-28,12.37
2018-06-29,12.96
2018-07-02,11.96
2018-07-03,11.74
2018-07-04,11.57
2018-07-05,11.96
2018-07-06,12.36
2018-07-09,13.47
2018-07-10,13.32
2018-07-11,13.12
2018-07-12,13.4
2018-07-13,13.59
2018-07-16,13.03
2018-07-17,12.73
2018-07-18,12.65
2018-07-19,12.98
2018-07-20,14.74
2018-07-23,15.22
2018-07-24,15.11
2018-07-25,15.58
2018-07-26,15.48
2018-07-27,15.45
2018-07-30,15.97
2018-07-31,15.75
2018-08-01,15.23
2018-08-02,14.54
2018-08-03,14.6
2018-08-06,14.95
2018-08-07,15.84
2018-08-08,15.47
2018-08-09,16.13
2018-08-10,15.8
2018-08-13,15.07
2018-08-14,14.87
2018-08-15,14.06
2018-08-16,14.1
2018-08-17,13.88
2018-08-20,14.32
2018-08-21,14.46
2018-08-22,14.4
2018-08-23,14.66
2018-08-24,15.06
2018-08-27,15.9
2018-08-28,15.98
2018-08-29,16.12
2018-08-30,15.5
2018-08-31,15.65
2018-09-03,15.5
2018-09-04,16.0
2018-09-05,15.05
2018-09-06,14.86
2018-09-07,15.53
2018-09-10,15.26
2018-09-11,14.76
2018-09-12,14.76
2018-09-13,15.12
2018-09-14,15.24
2018-09-17,14.81
2018-09-18,15.54
2018-09-19,15.76
2018-09-20,15.87
2018-09-21,17.66
2018-09-25,16.98
2018-09-26,17.81
2018-09-27,17.79
2018-09-28,18.05
2018-10-08,16.79
2018-10-09,16.76
2018-10-10,16.96
2018-10-11,15.81
2018-10-12,16.52
2018-10-15,16.1
2018-10-16,16.46
2018-10-17,16.36
2018-10-18,15.26
2018-10-19,16.57
2018-10-22,17.36
2018-10-23,16.38
2018-10-24,16.75
2018-10-25,17.02
2018-10-26,16.96
2018-10-29,15.21
2018-10-30,15.71
2018-10-31,16.27
2018-11-01,16.41
2018-11-02,17.69
2018-11-05,17.36
2018-11-06,17.23
2018-11-07,16.93
2018-11-08,17.37
2018-11-09,15.96
2018-11-12,15.92
2018-11-13,15.94
2018-11-14,15.52
2018-11-15,15.74
2018-11-16,15.84
2018-11-19,16.31
2018-11-20,15.78
2018-11-21,15.76
2018-11-22,15.66
2018-11-23,15.24
2018-11-26,15.63
2018-11-27,15.35
2018-11-28,15.64
2018-11-29,15.66
2018-11-30,15.91
2018-12-03,16.82
2018-12-04,16.93
2018-12-05,16.73
2018-12-06,16.26
2018-12-07,15.94
2018-12-10,15.7
2018-12-11,15.87
2018-12-12,15.82
2018-12-13,16.11
2018-12-14,15.69
2018-12-17,15.65
2018-12-18,15.27
2018-12-19,14.13
2018-12-20,13.27
2018-12-21,12.75
2018-12-24,12.81
2018-12-25,12.65
2018-12-26,12.21
2018-12-27,12.21
2018-12-28,12.56
2019-01-02,11.93
2019-01-03,12.24
2019-01-04,12.87
2019-01-07,12.88
2019-01-08,12.58
2019-01-09,13.06
2019-01-10,13.21
2019-01-11,13.82
2019-01-14,13.67
2019-01-15,14.16
2019-01-16,14.21
2019-01-17,13.83
2019-01-18,14.46
2019-01-21,14.69
2019-01-22,14.34
2019-01-23,14.52
2019-01-24,15.23
2019-01-25,15.88
2019-01-28,16.02
2019-01-29,16.0
2019-01-30,15.78
2019-01-31,16.57
2019-02-01,16.66
2019-02-11,16.75
2019-02-12,16.68
2019-02-13,17.2
2019-02-14,17.22
2019-02-15,16.51
2019-02-18,17.23
2019-02-19,17.24
2019-02-20,17.51
2019-02-21,17.44
2019-02-22,17.99
2019-02-25,19.88
2019-02-26,18.85
2019-02-27,19.07
2019-02-28,19.1
2019-03-01,20.26
2019-03-04,20.05
2019-03-05,19.71
2019-03-06,19.58
2019-03-07,18.66
2019-03-08,18.14
2019-03-11,17.89
2019-03-12,18.02
2019-03-13,18.4
2019-03-14,18.81
2019-03-15,19.03
2019-03-18,19.72
2019-03-19,19.39
2019-03-20,19.63
2019-03-21,19.34
2019-03-22,19.71
2019-03-25,18.53
2019-03-26,18.85
2019-03-27,19.76
2019-03-28,19.88
2019-03-29,21.28
2019-04-01,21.44
2019-04-02,21.85
2019-04-03,22.22
2019-04-04,22.95
2019-04-08,23.29
2019-04-09,22.59
2019-04-10,22.43
2019-04-11,22.32
2019-04-12,22.16
2019-04-15,22.18
2019-04-16,23.36
2019-04-17,23.19
2019-04-18,22.86
2019-04-19,23.36
2019-04-22,22.16
2019-04-23,22.59
2019-04-24,23.16
2019-04-25,22.79
2019-04-26,21.72
2019-04-29,22.69
2019-04-30,21.81
2019-05-06,21.27
2019-05-07,21.07
2019-05-08,20.49
2019-05-09,19.78
2019-05-10,20.97
2019-05-13,20.16
2019-05-14,19.92
2019-05-15,20.99
2019-05-16,21.03
2019-05-17,20.67
2019-05-20,20.64
2019-05-21,20.99
2019-05-22,20.89
2019-05-23,20.71
2019-05-24,20.96
