date,close
2018-01-02,50.42
2018-01-03,50.74
2018-01-04,52.83
2018-01-05,52.52
2018-01-08,52.04
2018-01-09,55.94
2018-01-10,58.74
2018-01-11,57.8
2018-01-12,61.21
2018-01-15,61.59
2018-01-16,60.66
2018-01-17,55.85
2018-01-18,56.24
2018-01-19,55.01
2018-01-22,60.26
2018-01-23,59.55
2018-01-24,57.19
2018-01-25,55.84
2018-01-26,56.68
2018-01-29,51.92
2018-01-30,51.24
2018-01-31,54.22
2018-02-01,52.82
2018-02-02,52.12
2018-02-05,47.71
2018-02-06,46.28
2018-02-07,40.86
2018-02-08,41.86
2018-02-09,41.04
2018-02-12,44.24
2018-02-13,44.94
2018-02-14,46.44
2018-02-22,49.94
2018-02-23,49.48
2018-02-26,48.36
2018-02-27,45.94
2018-02-28,44.12
2018-03-01,44.16
2018-03-02,43.26
2018-03-05,41.93
2018-03-06,43.08
2018-03-07,43.12
2018-03-08,46.74
2018-03-09,46.94
2018-03-12,45.99
2018-03-13,44.45
2018-03-14,45.39
2018-03-15,47.84
2018-03-16,46.71
2018-03-19,47.55
2018-03-20,45.49
2018-03-21,44.36
2018-03-22,41.97
2018-03-23,41.21
2018-03-26,39.83
2018-03-27,38.31
2018-03-28,34.58
2018-03-29,37.34
2018-03-30,36.2
2018-04-02,36.27
2018-04-03,36.96
2018-04-04,39.74
2018-04-09,39.59
2018-04-10,40.22
2018-04-11,40.15
2018-04-12,39.04
2018-04-13,37.82
2018-04-16,37.81
2018-04-17,36.84
2018-04-18,36.17
2018-04-19,40.21
2018-04-20,39.47
2018-04-23,39.53
2018-04-24,42.27
2018-04-25,42.18
2018-04-26,38.94
2018-04-27,37.82
2018-05-02,41.06
2018-05-03,43.64
2018-05-04,42.74
2018-05-07,45.84
2018-05-08,45.88
2018-05-09,46.09
2018-05-10,47.82
2018-05-11,46.9
2018-05-14,48.16
2018-05-15,49.22
2018-05-16,49.01
2018-05-17,46.91
2018-05-18,47.43
2018-05-21,47.02
2018-05-22,47.49
2018-05-23,46.28
2018-05-24,43.86
2018-05-25,44.14
2018-05-28,47.29
2018-05-29,46.18
2018-05-30,46.64
2018-05-31,48.82
2018-06-01,48.46
2018-06-04,51.64
2018-06-05,52.64
2018-06-06,51.95
2018-06-07,50.69
2018-06-08,50.23
2018-06-11,52.32
2018-06-12,55.84
2018-06-13,55.31
2018-06-14,54.25
2018-06-15,53.09
2018-06-19,49.72
2018-06-20,51.9
2018-06-21,50.72
